City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Makakilo City,US,2020-08-27 21:38:33,21.35,-158.09,87.8,48,75,9.17
267,Mizdah,LY,2020-08-27 21:38:33,31.45,12.98,72.09,66,0,11.97
268,Omboue,GA,2020-08-27 21:38:33,-1.57,9.26,75.42,83,100,8.88
269,Saint Pete Beach,US,2020-08-27 21:38:01,27.73,-82.74,93.0,62,1,10.29
270,Hermiston,US,2020-08-27 21:33:35,45.84,-119.29,87.01,23,1,5.44
271,Nelson Bay,AU,2020-08-27 21:38:33,-32.72,152.15,55.0,54,20,16.11
272,Disna,BY,2020-08-27 21:38:33,55.57,28.2,52.54,95,13,4.32
273,Cidreira,BR,2020-08-27 21:38:33,-30.18,-50.21,63.45,76,19,5.32
274,Sabang,ID,2020-08-27 21:38:33,5.89,95.32,82.96,70,100,3.06
275,Aykhal,RU,2020-08-27 21:38:33,66.0,111.5,55.4,47,40,6.71
276,Saint-Nazaire,FR,2020-08-27 21:38:33,47.28,-2.2,64.0,88,20,11.41
277,Natitingou,BJ,2020-08-27 21:38:33,10.3,1.38,71.6,100,20,2.24
278,Prince Rupert,CA,2020-08-27 21:38:33,54.32,-130.32,59.0,77,90,5.82
279,Henties Bay,NA,2020-08-27 21:38:33,-22.12,14.28,55.0,89,2,7.25
280,San Jose,US,2020-08-27 21:34:14,37.34,-121.89,82.0,44,40,9.17
281,Sergeyevka,KZ,2020-08-27 21:38:34,53.88,67.42,57.47,83,51,6.35
282,Dourbali,TD,2020-08-27 21:38:34,11.81,15.86,79.34,78,32,3.33
283,Porto Novo,BJ,2020-08-27 21:38:34,6.5,2.6,77.0,88,40,11.41
284,Lalmohan,BD,2020-08-27 21:38:34,22.34,90.74,81.91,83,50,11.77
285,Brooks,CA,2020-08-27 21:38:34,50.58,-111.89,69.01,45,1,8.01
286,Aklavik,CA,2020-08-27 21:38:34,68.22,-135.01,41.0,80,90,6.93
287,Rocha,UY,2020-08-27 21:38:34,-34.48,-54.33,53.85,85,100,4.38
288,Amapa,BR,2020-08-27 21:38:34,1.0,-52.0,82.09,60,100,2.39
289,Ugoofaaru,MV,2020-08-27 21:38:34,5.67,73.0,83.23,73,97,14.12
290,Dingle,PH,2020-08-27 21:38:34,11.0,122.67,75.16,85,97,2.46
291,Umm Lajj,SA,2020-08-27 21:34:08,25.02,37.27,82.72,69,33,5.66
292,Comodoro Rivadavia,AR,2020-08-27 21:38:34,-45.87,-67.5,57.2,35,40,23.04
293,Lasa,IT,2020-08-27 21:38:34,46.62,10.7,59.0,82,5,1.43
294,Fethiye,TR,2020-08-27 21:38:34,36.62,29.12,77.0,73,0,3.36
295,Turayf,SA,2020-08-27 21:38:34,31.67,38.66,78.8,34,0,8.05
296,Saint George,US,2020-08-27 21:34:56,37.1,-113.58,105.01,13,1,5.82
297,Srem,PL,2020-08-27 21:38:35,52.09,17.02,59.0,72,75,5.82
298,Chemal,RU,2020-08-27 21:38:35,51.41,86.0,55.99,82,100,2.59
299,Najran,SA,2020-08-27 21:38:35,17.49,44.13,89.6,18,39,4.7
300,Dongsheng,CN,2020-08-27 21:38:35,39.82,109.98,61.29,74,71,4.79
301,Caravelas,BR,2020-08-27 21:38:35,-17.71,-39.25,71.73,84,0,7.63
302,Ponta Delgada,PT,2020-08-27 21:38:35,37.73,-25.67,75.2,88,20,5.82
303,Klaksvik,FO,2020-08-27 21:38:35,62.23,-6.59,50.0,76,39,5.82
